@relation Attenuation.AccessLink.Binary_2

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS numeric
@attribute Client_Throughput {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
30,-68,65,-95,MCS7,56.9,0.896359,42.133333,-68,65,-95,MCS7,45.6,0.879939,667.53,757.643315,846.63,33.003534,0,0
31,-67,65,-95,MCS7,56.1,0.906135,44.124138,-68,65,-95,MCS7,52.9,0.833044,1.42,644.954626,890.58,228.058224,0.11,0
32,-69,65,-95,MCS7,56.6,0.902546,43.353333,-66,65,-95,MCS7,54.1,0.850812,661.35,757.194115,853.95,34.843308,0,0
33,-84,19.5,-95,MCS2,12,0.727598,11.022333,-85,19.5,-95,MCS2,13.2,0.675832,555.44,3194.987105,4371.13,427.47742,0.33,1
34,-67,65,-95,MCS7,56.7,0.72448,42.135333,-67,65,-95,MCS7,50.2,0.866083,669.38,793.547945,2627.25,224.887976,0,0
35,-67,65,-95,MCS7,56.9,0.900012,43.336667,-67,65,-95,MCS7,48.8,0.872806,679.4,757.546834,859.27,31.721129,0,0
36,-67,65,-95,MCS7,54.7,0.899721,43.333333,-66,65,-95,MCS7,51.8,0.87323,662.84,760.296116,855.13,32.737524,0,0
37,-68,65,-95,MCS7,56.9,0.899477,43.593333,-67,65,-95,MCS7,54.1,0.87366,663.87,751.791311,835.78,32.220936,0,0
38,-68,65,-95,MCS7,56.9,0.90028,43.523333,-67,65,-95,MCS7,54.9,0.874995,672.64,781.604954,4576.78,283.96108,0,0
39,-87,13,-95,MCS1,5.7,0.599763,-1,-86,13,-95,MCS1,4.7,0.677083,561.91,3946.353205,6322.88,1363.030764,0.53,1
40,-67,65,-95,MCS7,56.9,0.899552,39.61125,-67,65,-95,MCS7,54.1,0.875218,664.39,756.064709,868.63,33.427705,0,0
41,-68,65,-95,MCS7,51.4,0.85122,43.841379,-67,65,-95,MCS7,54.1,0.879237,21.14,661.598713,836.1,200.056087,0.09,0
42,-67,65,-95,MCS7,55.9,0.896024,43.386667,-66,65,-95,MCS7,54.1,0.881049,671.79,754.33319,850.23,31.968777,0,0
43,-89,6.5,-95,MCS0,4.4,0.704651,37.784615,-88,6.5,-95,MCS0,4.2,0.010417,153.98,4408.954665,12831.05,1916.906039,1.74,1
44,-67,65,-95,MCS7,56.3,0.852243,-1,-66,65,-95,MCS7,25,0.877737,299.95,708.281242,850.23,95.978259,0,0
45,-67,65,-95,MCS7,56.6,0.895124,43.336667,-67,65,-95,MCS7,54.1,0.877753,670.03,754.697567,863.16,33.980696,0,0
46,-67,65,-95,MCS7,56.6,0.895848,43.376667,-67,65,-95,MCS7,54.1,0.878136,674.21,756.435366,851.36,32.834852,0,0
47,-67,65,-95,MCS7,57.2,0.896381,43.76,-67,65,-95,MCS7,48.9,0.879273,667.99,752.026536,829.62,31.1954,0,0
48,-67,65,-95,MCS7,54.1,0.897829,43.306667,-67,65,-95,MCS7,51.2,0.880635,654.16,755.791443,856.88,33.292796,0,0
49,-89,5.5,-95,5.5M,2.2,0.61365,-1,-88,5.5,-95,5.5M,2.5,0.769621,103.17,2436.223462,10380.96,2505.620915,2.15,1
50,-69,65,-95,MCS7,57.2,0.644748,43.858824,-68,65,-95,MCS7,54.1,0.880753,609.47,727.741826,821.92,47.790804,0,0
51,-68,65,-95,MCS7,56.6,0.781609,44.006897,-67,65,-95,MCS7,54.1,0.880663,1.5,656.8408,883.04,210.34158,0.13,0
52,-68,65,-95,MCS7,57.2,0.902277,43.516667,-67,65,-95,MCS7,55.6,0.874471,668.57,758.017244,962.27,35.746847,0,0
53,-70,65,-95,MCS7,50.3,0.883819,38.513333,-71,65,-95,MCS7,51.8,0.852072,453.28,859.133525,1224.85,104.348402,0,1
54,-68,65,-95,MCS7,55.6,0.881104,43.533333,-66,65,-95,MCS7,54.9,0.850692,640.09,753.293348,848.48,31.697453,0,0
55,-67,65,-95,MCS7,56.9,0.886322,43.18,-67,65,-95,MCS7,52.1,0.844006,682.29,759.871367,864.43,32.562995,0,0
56,-68,65,-95,MCS7,57.2,0.888352,43.58,-67,65,-95,MCS7,50.8,0.852614,663.51,752.523215,836.05,31.590652,0,0
57,-67,65,-95,MCS7,56.9,0.891014,43.343333,-66,65,-95,MCS7,54.1,0.869579,668.64,756.585619,846.85,34.772067,0,0
58,-68,65,-95,MCS7,54.9,0.892388,43.396667,-67,65,-95,MCS7,54.1,0.872073,648.18,778.579844,1141.83,76.153466,0,0
59,-71,58.5,-95,MCS6,44.4,0.8766,33.536667,-72,58.5,-95,MCS6,46.5,0.815472,510.32,980.684633,1366.06,129.952618,0,1
60,-68,65,-95,MCS7,56.9,0.871988,43.083333,-67,65,-95,MCS7,54.1,0.866802,679.9,757.692865,889.25,32.332211,0,0
61,-67,65,-95,MCS7,56.9,0.895529,43.886207,-67,65,-95,MCS7,54.1,0.871373,6.94,669.591942,856.6,190.371454,0.05,0
62,-67,65,-95,MCS7,55.3,0.897611,43.696667,-67,65,-95,MCS7,51.4,0.88143,516.77,758.363816,989.97,38.94498,0,0
63,-74,52,-95,MCS5,37.8,0.832893,29.216667,-74,52,-95,MCS5,32.5,0.741405,730.26,1155.234119,1466.76,99.15643,0,1
64,-67,65,-95,MCS7,56.9,0.832184,42.256667,-67,65,-95,MCS7,52.9,0.705017,682.24,756.964979,849.18,31.981918,0,0
65,-67,65,-95,MCS7,56.9,0.894901,43.326667,-67,65,-95,MCS7,54.1,0.735138,648.28,757.520521,845.43,33.566842,0,0
66,-67,65,-95,MCS7,56.9,0.895383,43.403333,-66,65,-95,MCS7,50.5,0.876476,672.74,755.708051,872.66,33.022832,0,0
67,-66,65,-95,MCS7,57.2,0.895975,43.5,-66,65,-95,MCS7,54.1,0.878104,663.41,752.179426,863.58,31.198335,0,0
68,-67,65,-95,MCS7,57.2,0.89687,43.393333,-67,65,-95,MCS7,49.2,0.87939,629.84,810.980401,2471.28,223.87543,0,0
69,-76,39,-95,MCS4,33.7,0.89683,24.43,-75,39,-95,MCS4,28.5,0.754312,700,1358.397095,1791.85,219.70848,0,1
70,-67,65,-95,MCS7,56.9,0.89512,42.04,-67,65,-95,MCS7,45.9,0.877518,680.41,754.776719,884.19,33.308041,0,0
71,-66,65,-95,MCS7,57.2,0.89673,44.110345,-67,65,-95,MCS7,54.1,0.879114,1.5,655.74789,838.83,210.514437,0.09,0
72,-67,65,-95,MCS7,56.9,0.901268,43.536667,-67,65,-95,MCS7,48.3,0.887369,659.45,753.48015,840.1,34.468175,0,0
73,-78,39,-95,MCS4,24.7,0.699175,18.703333,-78,39,-95,MCS4,21.3,0.692874,550.89,1731.751783,2707.3,290.595893,0.03,1
74,-67,65,-95,MCS7,56.9,0.703308,42.66,-67,65,-95,MCS7,53.4,0.882451,678.53,757.660367,865.79,32.995721,0,0
75,-67,65,-95,MCS7,56.9,0.895911,43.336667,-67,65,-95,MCS7,54.1,0.882171,634.12,755.306928,845.83,31.920204,0,0
76,-67,65,-95,MCS7,56.1,0.896603,43.416667,-67,65,-95,MCS7,54.1,0.882334,663.54,758.536047,853.16,32.510361,0,0
77,-68,65,-95,MCS7,57.2,0.896865,43.61,-67,65,-95,MCS7,54.1,0.883109,645.8,748.45753,829.63,33.065447,0,0
78,-68,65,-95,MCS7,53.1,0.897775,43.76,-67,65,-95,MCS7,54.9,0.884207,680.98,885.822611,3545.51,462.313534,0.01,0
79,-82,26,-95,MCS3,16.7,0.725113,13.425,-82,26,-95,MCS3,19.5,0.26306,559.03,2269.826278,3124.47,650.165542,0,1
80,-68,65,-95,MCS7,56.9,0.713715,42.576667,-67,65,-95,MCS7,52.9,0.882939,662.47,750.48238,858.15,34.274156,0,0
81,-66,65,-95,MCS7,56.4,0.864105,44.065517,-67,65,-95,MCS7,46.5,0.847913,1.62,655.767401,830.57,204.956535,0.06,0
82,-67,65,-95,MCS7,57.2,0.900156,43.48,-67,65,-95,MCS7,52.9,0.876697,658.84,755.146617,870.64,35.485163,0,0
83,-85,19.5,-95,MCS2,13.8,0.735929,12.230333,-84,19.5,-95,MCS2,14.3,0.680569,784.26,3099.005727,3975.14,369.404788,0,1
84,-67,65,-95,MCS7,56.9,0.738606,41.266667,-66,65,-95,MCS7,53.8,0.830889,674.18,754.15048,1138.08,43.064694,0,0
85,-67,65,-95,MCS7,56.7,0.899699,43.603333,-67,65,-95,MCS7,54.1,0.882586,658.11,753.533074,854.8,32.029098,0,0
86,-67,65,-95,MCS7,56.9,0.899706,43.516667,-65,65,-95,MCS7,54.1,0.859536,510.51,753.169202,948.92,38.622576,0,0
87,-68,65,-95,MCS7,56.9,0.899673,43.356667,-67,65,-95,MCS7,54.1,0.884186,682.19,755.298051,844.72,30.509029,0,0
88,-68,65,-95,MCS7,56.9,0.899585,43.516667,-67,65,-95,MCS7,54.1,0.885133,662,753.597364,850.33,31.705401,0,0
89,-86,6.5,-95,MCS0,5.6,0.877817,-1,-85,13,-95,MCS1,4.8,0.714538,533.06,3927.607656,9978.11,1696.579927,0.88,1
90,-67,65,-95,MCS7,56.9,0.899267,38.377576,-67,65,-95,MCS7,54.1,0.883828,667.35,755.479749,863.16,35.089805,0,0
91,-69,65,-95,MCS7,56.9,0.892936,43.862069,-67,65,-95,MCS7,54.1,0.874104,1.58,657.42169,855.91,213.514019,0.06,0
92,-68,65,-95,MCS7,56.9,0.896497,43.413333,-67,65,-95,MCS7,54.1,0.883736,669.17,756.602352,847.69,33.8372,0,0
93,-90,6.5,-95,MCS0,4.7,0.736776,35.633,-88,11,-95,11.0M,4.2,0.623789,717.91,6320.634135,14643.43,2955.871054,1.03,1
94,-68,65,-95,MCS7,57.2,0.73139,-1,-67,65,-95,MCS7,54.1,0.604896,327.12,829.304224,8540.8,860.101647,0.36,0
95,-67,65,-95,MCS7,56.9,0.896285,43.536667,-67,65,-95,MCS7,54.9,0.882743,661.24,753.139978,841.26,33.432632,0,0
96,-68,65,-95,MCS7,57.2,0.896983,43.4,-65,65,-95,MCS7,52.9,0.883287,664.39,753.936627,855.53,34.064949,0,0
97,-67,65,-95,MCS7,56.9,0.897369,43.553333,-67,65,-95,MCS7,54.9,0.884103,629.56,755.595513,875.22,35.796532,0,0
98,-67,65,-95,MCS7,55.3,0.897516,43.306667,-67,65,-95,MCS7,54.1,0.884011,397.47,756.302874,1018,46.51377,0,0
99,-90,5.5,-95,5.5M,2.4,0.606098,-1,-90,5.5,-95,5.5M,2.7,0.774307,164.66,5435.742526,24607.22,4803.460856,1.87,1
100,-67,65,-95,MCS7,57.2,0.625383,43.614286,-67,65,-95,MCS7,2.8,0.787059,590.75,737.153901,857.59,50.993002,0,0
101,-66,65,-95,MCS7,56.9,0.894959,43.951724,-67,65,-95,MCS7,54.1,0.87786,1.51,637.099526,867.05,231.583057,0.1,0
102,-68,65,-95,MCS7,56.9,0.899124,43.593333,-66,65,-95,MCS7,54.9,0.886601,666.8,753.258706,860.95,33.567592,0,0
103,-70,65,-95,MCS7,49.5,0.886127,38.423333,-69,58.5,-95,MCS6,47.4,0.834668,369.45,855.449842,1264.61,90.703255,0,1
104,-68,65,-95,MCS7,56.3,0.880889,43.326667,-67,65,-95,MCS7,54.1,0.861334,652.62,754.042811,845.18,32.919589,0,0
105,-67,65,-95,MCS7,57.2,0.885687,43.413333,-67,65,-95,MCS7,54.1,0.868807,657.12,752.219056,869.42,32.016139,0,0
106,-67,65,-95,MCS7,56.6,0.888948,43.3,-67,65,-95,MCS7,54.9,0.854235,651.54,755.710629,833.45,32.301733,0,0
107,-69,65,-95,MCS7,56.9,0.890554,43.336667,-67,65,-95,MCS7,52.9,0.874043,669.2,755.625688,873.81,33.734781,0,0
108,-67,65,-95,MCS7,56.9,0.891742,43.616667,-67,65,-95,MCS7,54.1,0.875747,651.51,773.220021,1249.88,74.929645,0,0
109,-71,58.5,-95,MCS6,46.3,0.871887,33.393333,-71,52,-95,MCS5,41.9,0.804997,686.68,990.691341,1542.01,114.628499,0,1
110,-67,65,-95,MCS7,57.2,0.867435,43.08,-67,65,-95,MCS7,48.6,0.868582,613.64,755.048848,843.91,34.948614,0,0
111,-68,65,-95,MCS7,56.7,0.899353,43.741379,-67,65,-95,MCS7,54.1,0.880753,1.44,652.348401,842.09,220.397904,0.09,0
112,-68,65,-95,MCS7,56.9,0.898225,43.583333,-67,65,-95,MCS7,54.9,0.876158,595.51,756.201,1041.93,41.188976,0,0
113,-73,52,-95,MCS5,42.1,0.829556,28.46,-73,52,-95,MCS5,32.5,0.750271,744.77,1163.903825,1461.82,98.529045,0,1
114,-67,65,-95,MCS7,56.3,0.827684,42.626667,-67,65,-95,MCS7,54.9,0.867506,670.11,761.667824,923.3,35.428389,0,0
115,-67,65,-95,MCS7,56.9,0.895085,43.3,-66,65,-95,MCS7,49.8,0.870673,674.51,756.799934,854.86,33.153165,0,0
116,-67,65,-95,MCS7,56.9,0.895824,43.406667,-66,65,-95,MCS7,50.3,0.872883,667.55,755.103151,861.39,33.142912,0,0
117,-67,65,-95,MCS7,54.7,0.896477,43.403333,-67,65,-95,MCS7,54,0.873946,671.69,758.493499,856.67,32.065375,0,0
118,-67,65,-95,MCS7,56.9,0.897068,43.16,-67,65,-95,MCS7,54,0.875563,578.56,803.844464,2377.41,214.793484,0.02,0
119,-76,39,-95,MCS4,33.2,0.897402,23.59,-77,39,-95,MCS4,31.4,0.711427,699.78,1351.065427,2053.42,232.141757,0,1
120,-67,65,-95,MCS7,56.9,0.895904,42.796667,-66,65,-95,MCS7,48.8,0.87566,667.1,756.337311,849.36,32.098894,0,0
121,-67,65,-95,MCS7,56.9,0.89673,43.786207,-68,65,-95,MCS7,54.9,0.867065,1.26,625.930783,845.18,239.523586,0.07,0
122,-68,65,-95,MCS7,56.9,0.899476,43.36,-67,65,-95,MCS7,49.8,0.880924,667.63,755.138124,837.03,32.702045,0,0
123,-78,39,-95,MCS4,24.1,0.689442,18.42,-79,26,-95,MCS3,17.2,0.663977,696.39,1796.169821,2438.23,281.11337,0,1
124,-67,65,-95,MCS7,24.2,0.6881,42.586667,-68,65,-95,MCS7,54.1,0.878912,674.67,757.299167,850.9,32.975358,0,0
125,-67,65,-95,MCS7,56.9,0.896767,43.37,-68,65,-95,MCS7,54.1,0.879215,661.45,756.397106,853.42,34.627544,0,0
126,-67,65,-95,MCS7,56.9,0.897468,43.473333,-65,65,-95,MCS7,53.4,0.880779,668.13,756.158246,869.51,33.044951,0,0
127,-67,65,-95,MCS7,56.9,0.897887,43.34,-67,65,-95,MCS7,53.1,0.881169,666.39,755.328117,850.11,33.287988,0,0
128,-67,65,-95,MCS7,57.2,0.898025,43.483333,-65,65,-95,MCS7,51.5,0.881632,432.55,817.595079,3856.72,350.63461,0.24,0
129,-82,19.5,-95,MCS2,16.7,0.807251,13.381071,-82,19.5,-95,MCS2,16.6,0.224961,679.33,2232.997629,3158.01,639.69892,0,1
130,-68,65,-95,MCS7,57.2,0.897192,42.423333,-67,65,-95,MCS7,54.1,0.879318,654.92,756.636475,862.89,36.612682,0,0
131,-67,65,-95,MCS7,54.6,0.898275,44.075862,-68,65,-95,MCS7,54.1,0.868434,1.52,638.081744,871.22,227.13449,0.03,0
132,-67,65,-95,MCS7,52.9,0.901525,43.34,-68,65,-95,MCS7,49.2,0.88062,676.09,758.351258,872.96,33.701252,0,0
133,-84,19.5,-95,MCS2,11.7,0.693857,13.738667,-83,19.5,-95,MCS2,10,0.689216,691.14,2724.701238,3983.63,525.632992,0.23,1
134,-67,65,-95,MCS7,12.9,0.719828,41.118,-67,65,-95,MCS7,9.1,0.784044,650.55,865.404475,3512.84,487.605753,0,0
135,-67,65,-95,MCS7,56.7,0.897964,43.273333,-68,65,-95,MCS7,54.9,0.877223,653.76,760.255455,868.4,33.849908,0,0
136,-67,65,-95,MCS7,56.9,0.898187,43.34,-65,65,-95,MCS7,52.4,0.877447,653.92,755.387304,857.27,33.690709,0,0
137,-67,65,-95,MCS7,56.9,0.898314,43.356667,-65,65,-95,MCS7,50.8,0.878089,658.54,758.073845,869.57,34.44412,0,0
138,-67,65,-95,MCS7,55,0.898523,43.306667,-68,65,-95,MCS7,49.5,0.878404,673.41,756.946345,847.4,33.335918,0,0
139,-87,6.5,-95,MCS0,5.6,0.810811,-1,-87,13,-95,MCS1,5.1,0.713002,515.38,4707.325771,9434.64,2051.140063,0.49,1
140,-67,65,-95,MCS7,56.9,0.89818,43.593103,-87,65,-95,MCS7,8.2,0.686807,611.73,747.663807,828.37,32.538746,0,0
141,-67,65,-95,MCS7,56.3,0.9017,43.889655,-68,65,-95,MCS7,54.1,0.854208,1.42,632.153416,864.2,237.061124,0.12,0
142,-67,65,-95,MCS7,53.8,0.897931,43.18,-66,65,-95,MCS7,54.9,0.882334,674.45,761.168786,851.76,33.726216,0,0
143,-89,6.5,-95,MCS0,4.2,0.710337,35.699189,-87,6.5,-95,MCS0,3.3,0.575472,743.69,7826.80893,15737.68,3115.494442,0.95,1
144,-67,65,-95,MCS7,56.9,0.702171,-1,-65,65,-95,MCS7,41.9,0.87989,293.64,923.849792,6215.78,806.918341,0,0
145,-67,65,-95,MCS7,56.9,0.898473,43.34,-67,65,-95,MCS7,54.6,0.88017,669.19,758.024091,866.64,34.489436,0,0
146,-68,65,-95,MCS7,56.9,0.89827,43.266667,-66,65,-95,MCS7,52.9,0.880419,660.35,753.421797,837.78,32.133713,0,0
147,-67,65,-95,MCS7,56.9,0.898302,43.346667,-67,65,-95,MCS7,54.1,0.880445,650.8,756.269345,852.07,34.06343,0,0
148,-68,65,-95,MCS7,56.9,0.898357,-1,-65,65,-95,MCS7,50.9,0.880611,665.34,756.387912,859.66,34.634155,0,0
149,-89,5.5,-95,5.5M,1.9,0.698379,-1,-90,5.5,-95,5.5M,2.7,0.493333,306.55,9985.234064,28515.76,9609.049023,2.49,1
150,-67,65,-95,MCS7,56.9,0.68195,43.405405,-68,65,-95,MCS7,47.6,0.878999,488,633.385468,817.15,78.322202,0,0
151,-67,65,-95,MCS7,57.2,0.898988,43.841379,-67,65,-95,MCS7,48,0.839433,1.32,654.263794,889.27,220.929722,0.09,0
152,-67,65,-95,MCS7,56.6,0.900242,43.33,-67,65,-95,MCS7,54.9,0.841863,646.63,754.37306,878.06,36.044451,0,0
153,-68,58.5,-95,MCS6,48.9,0.892736,38.056667,-68,65,-95,MCS7,48.9,0.84219,452.12,866.534712,1140.12,69.113045,0,1
154,-68,65,-95,MCS7,56.9,0.886509,43.126667,-67,65,-95,MCS7,54.1,0.839713,660.58,760.00786,850.73,34.448681,0,0
155,-67,65,-95,MCS7,56.9,0.889723,43.353333,-67,65,-95,MCS7,54.1,0.85089,669.61,757.667899,843.45,33.670744,0,0
156,-67,65,-95,MCS7,56.9,0.892041,43.403333,-67,65,-95,MCS7,54.9,0.857816,657.83,758.745612,858.57,36.16595,0,0
157,-68,65,-95,MCS7,51.7,0.893791,43.203333,-67,65,-95,MCS7,54.1,0.861446,678.49,762.098142,854.01,32.255833,0,0
158,-67,65,-95,MCS7,56.9,0.894153,43.303333,-67,65,-95,MCS7,54.9,0.863159,670.42,781.866814,1194.39,79.268392,0,0
159,-72,52,-95,MCS5,44.5,0.884442,32.446667,-71,52,-95,MCS5,43.6,0.809134,301.13,1001.33194,1806.16,148.108796,0,1
160,-69,65,-95,MCS7,56.9,0.87342,43.426667,-65,65,-95,MCS7,54.1,0.857698,659.77,757.399167,882.96,34.225723,0,0
161,-68,65,-95,MCS7,56.9,0.895691,43.872414,-67,65,-95,MCS7,54.1,0.847377,1.62,654.967444,869.84,214.993599,0.15,0
162,-67,65,-95,MCS7,56.9,0.899764,43.623333,-68,65,-95,MCS7,51.8,0.869313,630.36,756.475762,905.27,35.92211,0,0
163,-74,52,-95,MCS5,39,0.812123,28.26,-74,52,-95,MCS5,38.7,0.735139,727.86,1193.032422,1543.68,104.648533,0,1
164,-67,65,-95,MCS7,56.9,0.814433,42.52,-65,65,-95,MCS7,54.1,0.742239,554.08,758.998295,861.39,36.16354,0,0
165,-67,65,-95,MCS7,54.6,0.896443,43.166667,-68,65,-95,MCS7,54.1,0.865166,665.14,759.816613,884.87,34.018448,0,0
166,-67,65,-95,MCS7,56.9,0.896177,43.46,-68,65,-95,MCS7,48.6,0.770344,553.15,756.449356,841.76,36.333226,0,0
167,-67,65,-95,MCS7,56.9,0.896871,43.636667,-67,65,-95,MCS7,51.2,0.871511,669.16,753.882727,852.07,33.938291,0,0
168,-68,65,-95,MCS7,56.3,0.898109,43.083333,-68,65,-95,MCS7,50.8,0.873837,552.6,781.870369,2343.39,163.165476,0.11,0
169,-76,39,-95,MCS4,33.7,0.898177,24.05,-76,39,-95,MCS4,29.4,0.699704,651.74,1347.657192,1999.72,251.090215,0,1
170,-68,65,-95,MCS7,56.9,0.896526,42.176667,-68,65,-95,MCS7,54.9,0.74772,654.77,757.336933,955.14,37.148732,0,0
171,-69,65,-95,MCS7,56.9,0.903743,44.12069,-68,65,-95,MCS7,48,0.834238,1.61,664.143846,1032.22,209.054131,0.16,0
172,-67,65,-95,MCS7,53.5,0.902355,43.29,-67,65,-95,MCS7,48.3,0.834878,668.81,758.234101,856.01,35.010284,0,0
173,-79,26,-95,MCS3,22.4,0.610342,17.846667,-79,39,-95,MCS4,23.1,0.677966,695.1,1979.136876,2461.18,193.390833,0,1
174,-67,65,-95,MCS7,57.2,0.607019,41.773333,-68,65,-95,MCS7,27.1,0.679245,657.92,765.415922,1486.97,82.786132,0,0
175,-67,65,-95,MCS7,56.9,0.8982,43.213333,-67,65,-95,MCS7,54.1,0.861587,678.3,763.183087,848.36,32.431055,0,0
176,-67,65,-95,MCS7,56.9,0.897421,43.12,-67,65,-95,MCS7,50.5,0.865323,674.11,756.331114,864.92,34.191217,0,0
177,-67,65,-95,MCS7,56.9,0.897548,43.373333,-67,65,-95,MCS7,54.1,0.867838,676.59,757.952787,853.62,33.173949,0,0
178,-67,65,-95,MCS7,56.9,0.898006,43.276667,-65,65,-95,MCS7,54.1,0.87023,290.52,787.397937,3692.96,330.97623,0.27,0
